ID,Username,Date,Mode,Speed,Digits,Count,Answer,Sequence
1783165909197,Alex,2026-07-04 20:51,Display,fast,2,4,77,"38|23|74|-58"
1783165661528,Alex,2026-07-04 20:47,Display,fast,2,4,163,"97|18|34|14"
1783161016541,Alex,2026-07-04 19:30,Audio,ultraFast,1,10,6,"9|5|6|8|-6|-8|-3|2|-4|-3"
1783161047152,Alex,2026-07-04 19:30,Audio,ultraFast,2,10,274,"95|90|-80|38|-82|30|61|78|-23|67"
1783157714197,Alex,2026-07-04 18:35,Audio,ultraFast,1,10,29,"9|6|6|-4|-8|6|4|-5|7|8"
1783154293439,Alex,2026-07-04 17:38,Audio,ultraFast,2,4,80,"45|70|-19|-16"
1783154298753,Alex,2026-07-04 17:38,Audio,ultraFast,2,4,2,"82|-69|59|-70"
1783154160826,Alex,2026-07-04 17:36,Mixed,ultraFast,2,4,74,"14|26|13|21"
1783154177176,Alex,2026-07-04 17:36,Audio,ultraFast,2,4,207,"73|62|33|39"
1783154014156,Alex,2026-07-04 17:33,Mixed,normal,2,4,173,"11|93|51|18"
1783153975029,Alex,2026-07-04 17:32,Mixed,normal,2,4,241,"71|17|64|89"
1783150866812,Alex,2026-07-04 16:41,Display,normal,2,3,131,"12|49|70"
1783147887998,Alex,2026-07-04 15:51,Display,normal,2,3,151,"78|58|15"
1783031727837,Alex,2026-07-03 07:35,Mixed,normal,2,3,108,"54|-33|87"
